chr	start	end	name	ATAC_signal	H3K27ac_signal	activity
chr1	678835	679335	region_54	5326.0138512715175	5694.738683407514	5470.548781453162
chr1	686434	686934	region_55	5635.031719775326	6083.458047462635	5810.292900529267
chr1	699255	699755	region_56	2799.3383382109682	3032.011039629939	2890.1843598042997
chr1	709831	710331	region_57	4544.38041917365	4917.299955297273	4690.028570683899
chr1	717129	717629	region_58	6271.2449784596365	6802.588870964607	6478.611677261341
chr1	724220	724720	region_59	5053.351026121099	5442.071096771686	5205.391094848498
chr1	737285	737785	region_60	5053.351026121099	5461.507064974442	5212.819415546719
chr1	752682	753182	region_61	7380.073800738008	7968.746963129968	7610.136340674833
chr1	753478	753978	region_62	4707.978114263901	5072.787700919322	4850.643264500473
chr1	762746	763246	region_63	1890.4622543762384	58.30790460826806	470.1449549756055
chr1	800321	800821	region_64	5907.694544925745	6297.2536976929505	6060.539628817124
chr1	831285	831785	region_65	5035.173504444404	5403.199160366174	5179.275995271692
chr1	845945	846445	region_66	2599.3855997673277	2779.343452994111	2669.9265383884012
chr1	849459	849959	region_67	5580.499154745242	6025.150142854366	5754.279826563883
chr1	853555	854055	region_68	5653.20924145202	6122.329983868146	5836.382271912877
chr1	859406	859906	region_69	4253.540072346536	4567.452527647665	4376.42947214805
chr1	870699	871199	region_70	2672.095686474106	2876.523294007891	2752.062937757942
chr1	875982	876482	region_71	2835.6933815643574	3051.4470078326954	2920.101145501271
chr1	889450	889950	region_72	2326.7227746169087	2487.8039299527704	2389.864314081926
chr1	894603	895103	region_73	6416.665151873193	6958.076616586655	6627.98182086235
chr1	912153	912653	region_74	5853.161979895661	6336.125634098463	6041.765121636526
chr1	913999	914499	region_75	5035.173504444404	5422.63512856893	5186.720164402759
chr1	921389	921889	region_76	4035.409812226201	4353.656877417348	4159.817395207445
chr1	929502	930002	region_77	2508.4979913838547	2721.035548385843	2591.4446709045387
chr1	932793	933293	region_78	2944.758511624525	3226.3707216574994	3054.326910775349
chr1	962577	963077	region_79	5798.629414865577	6297.2536976929505	5993.157465586585
chr1	977110	977610	region_80	2363.077817970298	2604.419739169307	2456.8079309827526
chr1	981046	981546	region_81	4526.202897496955	4839.556082486249	4649.032923487501
chr1	995633	996133	region_82	3035.646120007998	3245.8066898602556	3118.0260972787646
chr1	1002206	1002706	region_83	4944.285896060931	5364.327223960661	5108.204201263244
chr1	1006559	1007059	region_84	7434.606365768092	8007.6188995354805	7658.7191840803425
chr1	1053583	1054083	region_85	7271.00867067784	7813.25921750792	7483.240288044207
chr1	1083468	1083968	region_86	6125.82480504608	6569.357252531535	6299.526327540304
chr1	1142951	1143451	region_87	5834.984458218966	6297.2536976929505	6015.674071628573
chr1	1145349	1145849	region_88	4071.7648555795904	4353.656877417348	4182.26254964337
chr1	1155081	1155581	region_89	4053.587333902896	4392.528813822861	4185.906932117279
chr1	1159792	1160292	region_90	6798.39310708378	7346.795980641776	7012.662789428252
chr1	1162717	1163217	region_91	4071.7648555795904	4392.528813822861	4197.159382137085
chr1	1166114	1166614	region_92	2999.291076654609	3129.190880643719	3050.591048979125
chr1	1166451	1166951	region_93	3126.533728391471	3401.2944354823035	3233.6689929930867
chr1	1203226	1203726	region_94	6543.907803610055	7094.1283940059475	6758.680565356039
chr1	1236515	1237015	region_95	2544.853034737244	2721.035548385843	2613.914093527106
chr1	1237040	1237540	region_96	890.6985621580354	0.0	0.005886246574923823
chr1	1249229	1249729	region_97	5671.386763128715	6141.765952070902	5855.053451313629
chr1	1252446	1252946	region_98	7289.186192354535	7852.131153913432	7509.3516885875315
chr1	1254625	1255125	region_99	2926.5809899478304	3187.498785251987	3028.2821700795203
chr1	1282145	1282645	region_100	1763.219602639376	0.0	0.008867145673023403
chr1	1286686	1287186	region_101	6980.168323850726	7560.591630872092	7206.789710874398
chr1	1290981	1291481	region_102	781.6334320978677	0.0	0.005442543089102687
chr1	1320008	1320508	region_103	4853.398287677458	5247.711414744125	5007.437497492132
chr1	1323201	1323701	region_104	5144.238634504572	5539.250937785466	5298.745734880077
chr1	1329013	1329513	region_105	7470.961409121481	8104.79874054926	7718.320167521073
chr1	1345287	1345787	region_106	2999.291076654609	3226.3707216574994	3088.1392582970598
chr1	1356784	1357284	region_107	4217.185028993147	4567.452527647665	4353.947725783256
chr1	1371598	1372098	region_108	5344.191372948212	5772.482556218538	5511.5563584873735
chr1	1372262	1372762	region_109	927.0536055114246	38.87193640551204	260.6858021335244
chr1	1376598	1377098	region_110	3653.6818570156147	3926.065576956716	3760.2910144145762
chr1	1378860	1379360	region_111	2690.2732081508007	2915.395230413403	2778.1571437544294
chr1	1384281	1384781	region_112	5235.1262428880445	5597.558842393734	5377.194706684336
chr1	1390282	1390782	region_113	6834.748150437169	7385.667917047288	7050.004923435935
chr1	1391962	1392462	region_114	2653.9181647974115	2876.523294007891	2740.814696221229
chr1	1426552	1427052	region_115	4889.753331030847	5286.583351149638	5044.7796822722385
chr1	1427061	1427561	region_116	7507.31645247487	8104.79874054926	7740.833526438058
chr1	1443864	1444364	region_117	2617.5631214440223	2857.087325805135	2710.8638353173583
chr1	1467155	1467655	region_118	2017.7049061131006	0.0	0.009614231826592753
chr1	1486898	1487398	region_119	3072.001163361387	3304.1145944685236	3162.8228374620603
chr1	1488194	1488694	region_120	6034.937196662607	6530.485316126023	6228.476581212246
chr1	1491425	1491925	region_121	2526.6755130605493	2740.4715165885987	2610.115945970059
chr1	1503910	1504410	region_122	4053.587333902896	4353.656877417348	4171.0500375548645
chr1	1504496	1504996	region_123	5016.995982767709	5403.199160366174	5168.049233123344
chr1	1513996	1514496	region_124	4526.202897496955	4897.863987094517	4671.357435909189
chr1	1517429	1517929	region_125	1326.9590823987057	0.0	0.007476778568206974
chr1	1522219	1522719	region_126	5889.51702324905	6394.43353870673	6086.51420575886
chr1	1529375	1529875	region_127	2817.515859887663	3051.4470078326954	2908.8555450884223
chr1	1535792	1536292	region_128	7089.233453910894	7677.207440088628	7318.816814142042
chr1	1536315	1536815	region_129	3944.5222038427282	4275.913004606325	4073.879578096582
chr1	1539718	1540218	region_130	2617.5631214440223	2837.651357602379	2703.4722261424104
chr1	1544926	1545426	region_131	5653.20924145202	6064.022079259878	5814.084584758123
chr1	1561288	1561788	region_132	2726.62825150419	2954.267166818915	2815.4995696375136
chr1	1568934	1569434	region_133	5598.6766764219365	6044.586111057122	5772.950852573693
chr1	1570910	1571410	region_134	4035.409812226201	4373.0928456201045	4167.235715631641
chr1	1575257	1575757	region_135	4889.753331030847	5306.019319352394	5052.190309435515
chr1	1586700	1587200	region_136	7489.138930798175	8065.926804143748	7714.731985157386
chr1	1589232	1589732	region_137	1908.639776052933	0.0	0.0092989600555811
chr1	1611360	1611860	region_138	1399.6691691054841	0.0	0.007719963337090266
chr1	1616483	1616983	region_139	3617.3268136622255	3926.065576956716	3737.7966315060426
chr1	1645647	1646147	region_140	4980.64093941432	5383.763192163417	5138.135108988545
chr1	1651511	1652011	region_141	6634.795411993528	7152.436298614215	6837.197431802012
chr1	1661486	1661986	region_142	2690.2732081508007	2876.523294007891	2763.2806131572243
chr1	1678973	1679473	region_143	963.4086488648138	0.0	0.0061700164865433945
chr1	1684395	1684895	region_144	4126.297420609674	4450.836718431128	4253.172350790661
chr1	1687286	1687786	region_145	3308.308945158417	3576.2181493071075	3412.976018389354
chr1	1693137	1693637	region_146	4308.07263737662	4703.5043050669565	4462.091057832961
chr1	1693713	1694213	region_147	4326.250159053315	4625.760432255933	4443.653958996076
chr1	1698598	1699098	region_148	5544.144111391853	6025.150142854366	5731.758132195597
chr1	1708488	1708988	region_149	4217.185028993147	4567.452527647665	4353.947725783256
chr1	1718162	1718662	region_150	927.0536055114246	0.0	0.006029244673595158
chr1	1737677	1738177	region_151	6307.600021813026	6822.024839167363	6508.543415039484
chr1	1750264	1750764	region_152	3744.5694653990877	4003.8094497677403	3846.187880475598
chr1	1754559	1755059	region_153	5344.191372948212	5772.482556218538	5511.5563584873735
chr1	1760346	1760846	region_154	4817.043244324069	5208.839478338614	4970.095304386646
chr1	1768522	1769022	region_155	5326.0138512715175	5791.918524421294	5507.700963416889
chr1	1773811	1774311	region_156	5489.611546361769	5908.53433363783	5653.493196897545
chr1	1794481	1794981	region_157	5635.031719775326	6064.022079259878	5802.860477040055
chr1	1809626	1810126	region_158	5925.872066602439	6394.43353870673	6109.029100413446
chr1	1811483	1811983	region_159	3235.5988584516385	3556.782181104352	3360.4366449074646
chr1	1830934	1831434	region_160	3617.3268136622255	3906.62960875396	3730.384032459421
chr1	1835537	1836037	region_161	4508.025375820261	4820.120114283493	4630.362108533734
chr1	1842224	1842724	region_162	6234.889935106247	6744.280966356339	6433.858965196788
chr1	1861093	1861593	region_163	7034.7008888808095	7618.89953548036	7262.80327102941
chr1	1927352	1927852	region_164	5889.51702324905	6336.125634098463	6064.2531272157985
chr1	1949177	1949677	region_165	5998.582153309218	6491.613379720511	6191.1343052431275
chr1	1949640	1950140	region_166	3017.4685983313034	3187.498785251987	3084.3642928125755
chr1	1965757	1966257	region_167	7307.363714031229	7871.567122116188	7528.022627639814
chr1	1968228	1968728	region_168	3181.0662934215547	3459.6023400905715	3289.683411147862
chr1	1983886	1984386	region_169	5525.966589715158	5908.53433363783	5675.927745944581
chr1	1991941	1992441	region_170	2672.095686474106	2876.523294007891	2752.062937757942
chr1	2013125	2013625	region_171	6525.730281933361	7035.820489397679	6725.171626859177
chr1	2015394	2015894	region_172	4508.025375820261	4820.120114283493	4630.362108533734
chr1	2018299	2018799	region_173	2890.225946594441	3109.7549124409634	2976.113859522709
chr1	2019677	2020177	region_174	9761.329140385	10456.550893082738	10033.691788042937
chr1	2019759	2020259	region_175	10633.85018086634	11370.041398612271	10922.426747952559
chr1	2020072	2020572	region_176	8725.210404813408	9737.420069580767	9116.814272500043
chr1	2020200	2020700	region_177	6598.440368640139	7327.36001243902	6880.876923263704
chr1	2044350	2044850	region_178	4344.427680730009	4703.5043050669565	4484.645941938896
chr1	2057958	2058458	region_179	5944.049588279134	6413.8695069094865	6127.700102686448
chr1	2064067	2064567	region_180	4707.978114263901	5053.3517327165655	4843.200766204714
chr1	2067821	2068321	region_181	4199.007507316453	4509.144623039397	4320.416903507125
chr1	2072778	2073278	region_182	3526.439205278752	3790.013799537424	3629.5949096979507
chr1	2074937	2075437	region_183	5944.049588279134	6413.8695069094865	6127.700102686448
chr1	2107155	2107655	region_184	6453.0201952265825	6996.948552992168	6665.324331431023
chr1	2137118	2137618	region_185	1817.75216766946	19.43596820275602	295.9124751792339
chr1	2142305	2142805	region_186	5889.51702324905	6374.997570503974	6079.10742979107
chr1	2162315	2162815	region_187	6034.937196662607	6491.613379720511	6213.62030905309
chr1	2187311	2187811	region_188	4308.07263737662	4684.068336864201	4454.706537503725
chr1	2191799	2192299	region_189	4798.865722647374	5033.915764513809	4891.539179671916
chr1	2192178	2192678	region_190	4417.137767436788	4645.196400458689	4506.985898204767
chr1	2216263	2216763	region_191	7452.783887444786	8046.490835940993	7684.820452985985
chr1	2234680	2235180	region_192	4417.137767436788	4781.248177877981	4559.330572343291
chr1	2248193	2248693	region_193	3035.646120007998	3323.5505626712793	3147.68744290852
chr1	2284898	2285398	region_194	1526.9118208423463	0.0	0.008133704201508687
chr1	2285465	2285965	region_195	1617.7994292258193	0.0	0.008420828193336383
chr1	2291652	2292152	region_196	7452.783887444786	8065.926804143748	7692.240026807381
chr1	2311490	2311990	region_197	3944.5222038427282	4256.4770364035685	4066.4623992316306
chr1	2322682	2323182	region_198	6707.505498700307	7269.052107830752	6926.721640019407
chr1	2366261	2366761	region_199	1763.219602639376	0.0	0.008867145673023403
chr1	2392233	2392733	region_200	4162.652463963063	4450.836718431128	4275.6166244121905
chr1	2401229	2401729	region_201	3962.699725519423	4256.4770364035685	4077.6957334585068
chr1	2402543	2403043	region_202	7434.606365768092	8007.6188995354805	7658.7191840803425
chr1	2427670	2428170	region_203	3326.4864668351115	3595.6541175098637	3431.647099311323
chr1	2443476	2443976	region_204	4835.220766000763	5189.403510135858	4973.896697605884
chr1	2458300	2458800	region_205	4635.268027557123	4975.607859905541	4768.517371255523
chr1	2473056	2473556	region_206	3526.439205278752	3809.44976774018	3637.0288094707994
chr1	2501971	2502471	region_207	1745.0420809626814	19.43596820275602	288.75267386289624
chr1	2511956	2512456	region_208	2126.770036173268	0.0	0.009922756172838523
chr1	2524596	2525096	region_209	1908.639776052933	38.87193640551204	402.05813370172973
chr1	2543756	2544256	region_210	1017.9412138948976	0.0	0.006377252591210111
chr1	2644530	2645030	region_211	927.0536055114246	0.0	0.006029244673595158
chr1	2675207	2675707	region_212	1908.639776052933	58.30790460826806	472.8521368820245
chr1	2686844	2687344	region_213	1581.44438587243	0.0	0.008306773223386427
chr1	2690397	2690897	region_214	3417.3740752185845	3692.833958523644	3525.0024617179733
chr1	2691195	2691695	region_215	1835.9296893461546	38.87193640551204	392.7969412359232
chr1	2719739	2720239	region_216	4162.652463963063	4489.708654836641	4290.514322303947
chr1	2731672	2732172	region_217	1617.7994292258193	0.0	0.008420828193336383
chr1	2788824	2789324	region_218	2090.414992819879	19.43596820275602	321.7969910242413
chr1	2808919	2809419	region_219	1654.1544725792085	19.43596820275602	279.6327991697605
chr1	2879381	2879881	region_220	927.0536055114246	0.0	0.006029244673595158
chr1	3060730	3061230	region_221	1199.7164306618436	58.30790460826806	357.8805844354714
chr1	3269971	3270471	region_222	999.763692218203	0.0	0.006308678801734146
chr1	3407812	3408312	region_223	981.5861705415084	38.87193640551204	269.7811047957891
chr1	3541880	3542380	region_224	1926.8172977296276	38.87193640551204	404.3512519476007
chr1	3705798	3706298	region_225	1399.6691691054841	19.43596820275602	252.9634116173015
chr1	3793451	3793951	region_226	1199.7164306618436	19.43596820275602	230.6161066867794
chr1	3806557	3807057	region_227	1145.1838656317598	97.1798410137801	426.9289508159266
chr1	3846994	3847494	region_228	2090.414992819879	0.0	0.009820633572302749
chr1	4055193	4055693	region_229	2181.302601203352	19.43596820275602	330.1201412875654
chr1	4104658	4105158	region_230	1926.8172977296276	0.0	0.009351996204296104
chr1	4209892	4210392	region_231	1454.201734135568	0.0	0.007899048764261086
chr1	4277332	4277832	region_232	927.0536055114246	0.0	0.006029244673595158
chr1	4371689	4372189	region_233	1672.331994255903	38.87193640551204	371.4051909375181
chr1	4390779	4391279	region_234	1944.9948194063222	0.0	0.009404832590193044
chr1	4450425	4450925	region_235	1090.651300601676	19.43596820275602	217.79806896720402
chr1	4467089	4467589	region_236	999.763692218203	38.87193640551204	272.76766541507504
chr1	4498703	4499203	region_237	2144.947557849963	19.43596820275602	326.8078494175896
chr1	4523563	4524063	region_238	1017.9412138948976	0.0	0.006377252591210111
chr1	4704802	4705302	region_239	890.6985621580354	38.87193640551204	254.50300875329194
